,Name,State,Pop_Group,Year, Pop 
101,Akron OH,OH,Med,2017,  570 
101,Albany-Schenectady NY,NY,Med,2017,  610 
101,Albuquerque NM,NM,Med,2017,  760 
101,Allentown PA-NJ,PA,Med,2017,  680 
101,Anchorage AK,AK,Sml,2017,  290 
101,Atlanta GA,GA,Vlg,2017,"  4,900 "
101,Austin TX,TX,Lrg,2017,"  1,620 "
101,Bakersfield CA,CA,Med,2017,  560 
101,Baltimore MD,MD,Lrg,2017,"  2,620 "
101,Baton Rouge LA,LA,Med,2017,  640 
101,Beaumont TX,TX,Sml,2017,  300 
101,Birmingham AL,AL,Med,2017,  800 
101,Boise ID,ID,Sml,2017,  390 
101,Boston MA-NH-RI,MA,Vlg,2017,"  4,500 "
101,Boulder CO,CO,Sml,2017,  130 
101,Bridgeport-Stamford CT-NY,CT,Med,2017,  960 
101,Brownsville TX,TX,Sml,2017,  225 
101,Buffalo NY,NY,Med,2017,  940 
101,Cape Coral FL,FL,Med,2017,  595 
101,Charleston-North Charleston SC,SC,Med,2017,  630 
101,Charlotte NC-SC,NC,Lrg,2017,"  1,340 "
101,Chicago IL-IN,IL,Vlg,2017,"  8,720 "
101,Cincinnati OH-KY-IN,OH,Lrg,2017,"  1,670 "
101,Cleveland OH,OH,Lrg,2017,"  1,760 "
101,Colorado Springs CO,CO,Med,2017,  615 
101,Columbia SC,SC,Med,2017,  590 
101,Columbus OH,OH,Lrg,2017,"  1,495 "
101,Corpus Christi TX,TX,Sml,2017,  340 
101,Dallas-Fort Worth-Arlington TX,TX,Vlg,2017,"  5,630 "
101,Dayton OH,OH,Med,2017,  745 
101,Denver-Aurora CO,CO,Lrg,2017,"  2,675 "
101,Detroit MI,MI,Vlg,2017,"  3,825 "
101,El Paso TX-NM,TX,Med,2017,  825 
101,Eugene OR,OR,Sml,2017,  260 
101,Fresno CA,CA,Med,2017,  700 
101,Grand Rapids MI,MI,Med,2017,  630 
101,Greensboro NC,NC,Sml,2017,  330 
101,Hartford CT,CT,Med,2017,  910 
101,Honolulu HI,HI,Med,2017,  850 
101,Houston TX,TX,Vlg,2017,"  5,180 "
101,Indianapolis IN,IN,Lrg,2017,"  1,605 "
101,Indio-Cathedral City CA,CA,Sml,2017,  375 
101,Jackson MS,MS,Sml,2017,  365 
101,Jacksonville FL,FL,Lrg,2017,"  1,150 "
101,Kansas City MO-KS,MO,Lrg,2017,"  1,605 "
101,Knoxville TN,TN,Med,2017,  605 
101,Lancaster-Palmdale CA,CA,Sml,2017,  350 
101,Laredo TX,TX,Sml,2017,  265 
101,Las Vegas-Henderson NV,NV,Lrg,2017,"  2,070 "
101,Little Rock AR,AR,Sml,2017,  460 
101,Los Angeles-Long Beach-Anaheim CA,CA,Vlg,2017,"  12,670 "
101,Louisville-Jefferson County KY-IN,KY,Lrg,2017,"  1,115 "
101,Madison WI,WI,Sml,2017,  445 
101,McAllen TX,TX,Med,2017,  800 
101,Memphis TN-MS-AR,TN,Lrg,2017,"  1,090 "
101,Miami FL,FL,Vlg,2017,"  6,040 "
101,Milwaukee WI,WI,Lrg,2017,"  1,410 "
101,Minneapolis-St. Paul MN-WI,MN,Lrg,2017,"  2,850 "
101,Nashville-Davidson TN,TN,Lrg,2017,"  1,215 "
101,New Haven CT,CT,Med,2017,  555 
101,New Orleans LA,LA,Med,2017,  985 
101,New York-Newark NY-NJ-CT,NY,Vlg,2017,"  19,095 "
101,Oklahoma City OK,OK,Lrg,2017,"  1,010 "
101,Omaha NE-IA,NE,Med,2017,  785 
101,Orlando FL,FL,Lrg,2017,"  1,690 "
101,Oxnard CA,CA,Sml,2017,  385 
101,Pensacola FL-AL,FL,Sml,2017,  375 
101,Philadelphia PA-NJ-DE-MD,PA,Vlg,2017,"  5,565 "
101,Phoenix-Mesa AZ,AZ,Vlg,2017,"  4,000 "
101,Pittsburgh PA,PA,Lrg,2017,"  1,760 "
101,Portland OR-WA,OR,Lrg,2017,"  2,050 "
101,Poughkeepsie-Newburgh NY-NJ,NY,Sml,2017,  440 
101,Providence RI-MA,RI,Lrg,2017,"  1,195 "
101,Provo-Orem UT,UT,Med,2017,  555 
101,Raleigh NC,NC,Lrg,2017,"  1,030 "
101,Richmond VA,VA,Lrg,2017,"  1,015 "
101,Riverside-San Bernardino CA,CA,Lrg,2017,"  2,075 "
101,Rochester NY,NY,Med,2017,  725 
101,Sacramento CA,CA,Lrg,2017,"  1,855 "
101,Salem OR,OR,Sml,2017,  260 
101,Salt Lake City-West Valley City UT,UT,Lrg,2017,"  1,115 "
101,San Antonio TX,TX,Lrg,2017,"  2,000 "
101,San Diego CA,CA,Vlg,2017,"  3,195 "
101,San Francisco-Oakland CA,CA,Vlg,2017,"  3,540 "
101,San Jose CA,CA,Lrg,2017,"  1,965 "
101,San Juan PR,PR,Lrg,2017,"  2,010 "
